Location,State,Keyword,SERP_Position_Feb2026,Est_Position_Feb2025,YoY_Change,Tier,Top_Competitor,URL
Chicago,IL,mobile iv therapy chicago,1,1,-,Tier 1 (Top 1),—,/service-areas/illinois/chicago/
Denver,CO,mobile iv therapy denver,1,1,-,Tier 1 (Top 1),—,/service-areas/colorado/denver/
Atlanta,GA,mobile iv therapy atlanta,1,1,-,Tier 1 (Top 1),—,/service-areas/georgia/atlanta/
Los Angeles,CA,mobile iv therapy los angeles,2,1,↓1,Tier 2 (Top 2-3),Liquid Life IV,/service-areas/california/los-angeles-county/
Las Vegas,NV,mobile iv therapy las vegas,2,1,↓1,Tier 2 (Top 2-3),mobileivtherapylasvegas.com,/service-areas/nevada/las-vegas/
Orlando,FL,mobile iv therapy orlando,2,2,-,Tier 2 (Top 2-3),HydraMed,/service-areas/florida/orlando/
San Antonio,TX,mobile iv therapy san antonio,2,2,-,Tier 2 (Top 2-3),HydraMed,/service-areas/texas/san-antonio/
Tampa,FL,mobile iv therapy tampa,2,2,-,Tier 2 (Top 2-3),The I.V. Doc,/service-areas/florida/tampa/
Dallas,TX,mobile iv therapy dallas,3,2,↓1,Tier 2 (Top 2-3),The Drip Mobile IV,/service-areas/texas/dallas/
Houston,TX,mobile iv therapy houston,3,2,↓1,Tier 2 (Top 2-3),Bounce Hydration,/service-areas/texas/houston/
San Diego,CA,mobile iv therapy san diego,3,2,↓1,Tier 2 (Top 2-3),ASAP IVs,/service-areas/california/san-diego-county/
Miami,FL,mobile iv therapy miami,4,3,↓1,Tier 3 (Top 4-7),The I.V. Doc,/service-areas/florida/miami-dade-county/
Austin,TX,mobile iv therapy austin,7,4,↓3,Tier 3 (Top 4-7),WAYDS,/service-areas/texas/austin/
Nashville,TN,mobile iv therapy nashville,8,5,↓3,Tier 4 (Outside Top 5),Hangover Healthcare,/service-areas/tennessee/nashville/
Philadelphia,PA,mobile iv therapy philadelphia,11+,7,↓4+,Tier 4 (Outside Top 10),IV Elements,/service-areas/pennsylvania/philadelphia/
